epoch,train_loss,train_data_loss,train_biology_loss,train_mae,train_mape,mean_alpha,mean_K,mean_beta
289,0.334966,0.226068,2.177960,1.537787,102.0379,2.5223,9.0245,0.3105
290,0.335314,0.225990,2.186490,1.537790,102.2234,2.6112,9.4142,0.2868
291,0.335538,0.226445,2.181876,1.536032,102.2061,2.5393,9.4331,0.3340
292,0.334602,0.224945,2.193141,1.534694,102.3796,2.6254,9.4496,0.3315
293,0.335134,0.224683,2.209026,1.529191,102.0542,2.5771,9.2736,0.3189
294,0.335019,0.224296,2.214467,1.532556,102.3009,2.5419,9.1048,0.3046
295,0.335605,0.227261,2.166879,1.540895,102.2472,2.6203,9.4739,0.2674
296,0.335496,0.226403,2.181847,1.535253,102.2262,2.5397,9.4599,0.2909
297,0.334428,0.224466,2.199242,1.533635,102.2894,2.5400,9.2737,0.3276
298,0.334902,0.226250,2.173041,1.538149,102.1936,2.5496,9.3200,0.3215
299,0.334833,0.225571,2.185227,1.535675,102.4572,2.5974,9.3896,0.3185
300,0.335011,0.224517,2.209873,1.532998,102.2845,2.5742,9.4672,0.3012
301,0.335140,0.226437,2.174044,1.537827,102.3006,2.6294,9.3290,0.2679
302,0.335534,0.226660,2.177473,1.537120,102.2511,2.5482,9.3359,0.2906
303,0.334827,0.226263,2.171272,1.537261,102.2779,2.6247,9.6104,0.2875
304,0.334950,0.223915,2.220710,1.526593,102.1099,2.5858,9.4055,0.3053
305,0.334665,0.225210,2.189095,1.533347,102.4529,2.5236,9.4150,0.3325
306,0.334784,0.226301,2.169646,1.536784,102.2680,2.5943,9.5324,0.2920
307,0.334781,0.225377,2.188089,1.534157,102.4455,2.5175,9.2737,0.3228
308,0.334745,0.226505,2.164812,1.538193,102.3396,2.6593,9.3658,0.2946
309,0.334754,0.222594,2.243201,1.524034,102.0671,2.5009,9.0393,0.2615
310,0.334736,0.225744,2.179843,1.537298,102.2669,2.5589,9.4158,0.3072
311,0.334665,0.225642,2.180475,1.534762,102.1615,2.5782,9.4913,0.2951
312,0.334720,0.224946,2.195478,1.532765,102.0711,2.5210,9.2583,0.3380
313,0.334261,0.224543,2.194355,1.534179,102.2222,2.6267,9.3037,0.3105
314,0.334276,0.222143,2.242650,1.524911,102.5169,2.5528,9.3297,0.3190
315,0.334889,0.226300,2.171776,1.536932,102.4534,2.6291,9.4546,0.2974
316,0.335017,0.224084,2.218658,1.530731,102.4953,2.5838,9.5164,0.2860
317,0.334816,0.225819,2.179944,1.535581,102.0611,2.5583,9.2869,0.3040
318,0.334682,0.224713,2.199382,1.532781,102.2349,2.5355,9.3465,0.3094
319,0.334286,0.224360,2.198522,1.533215,102.2859,2.5645,9.4115,0.3275
320,0.334238,0.224477,2.195220,1.533361,102.3947,2.5878,9.4898,0.3083
321,0.334339,0.224372,2.199341,1.533144,102.0954,2.5878,9.2835,0.2801
322,0.334687,0.225689,2.179955,1.535127,101.8973,2.6808,9.3551,0.3220
323,0.334553,0.223144,2.228191,1.524850,102.0098,2.6125,9.1020,0.2543
324,0.335755,0.227135,2.172410,1.536902,102.0424,2.6557,9.4627,0.2935
